sim,q,diff
V147,1,-0.240145059516145
V148,1,-0.219842814475321
V149,1,-0.28882590602268
V150,1,-0.325750852397867
V151,1,-0.31646008692983
V152,1,-0.276738558036307
V153,1,-0.276035382064258
V154,1,-0.313314848810244
V155,1,-0.237781389976981
V156,1,-0.287961938476755
V157,1,-0.266245375070262
V158,1,-0.302023897949127
V159,1,-0.254681800132708
V160,1,-0.302678565282449
V161,1,-0.338174704186507
V162,1,-0.201996412041339
V163,1,-0.286036851253876
V164,1,-0.283151093055011
V165,1,-0.303427169232386
V166,1,-0.237041608757821
V167,1,-0.227680145827044
V168,1,-0.258923713844126
V169,1,-0.327492037546215
V170,1,-0.319640475395559
V171,1,-0.297181330448211
V172,1,-0.24971006080073
V173,1,-0.358135229516513
V174,1,-0.253180376267437
V175,1,-0.29049343094691
V176,1,-0.309604528498241
V177,1,-0.268687867592696
V178,1,-0.256015596783804
V179,1,-0.266825904817253
V180,1,-0.271532536362855
V181,1,-0.303226628960431
V182,1,-0.334158618227193
V183,1,-0.287871133825192
V184,1,-0.37554872979792
V185,1,-0.276408175978332
V186,1,-0.247088798085031
V187,1,-0.292071852164156
V188,1,-0.294729238236108
V189,1,-0.300020060078488
V190,1,-0.313478639380911
V191,1,-0.298483755673914
V192,1,-0.273911943624988
V193,1,-0.195587252118763
V194,1,-0.277312454872423
V195,1,-0.280222786163229
V196,1,-0.310528841383501
V197,1,-0.279005882750887
V198,1,-0.273562840252687
V199,1,-0.264516458745575
V200,1,-0.288619553061849
V201,1,-0.271473912520953
V202,1,-0.290819968453043
V203,1,-0.317025605937971
V204,1,-0.326981408475056
V205,1,-0.318200257800022
V206,1,-0.350195132868656
V207,1,-0.286831368876477
V208,1,-0.285677767108609
V209,1,-0.189240104455095
V210,1,-0.272548753234346
V211,1,-0.25792961030519
V212,1,-0.198716485002954
V213,1,-0.3180865424685
V214,1,-0.289612478638581
V215,1,-0.30849168271169
V216,1,-0.304561169091109
V217,1,-0.29023675293044
V218,1,-0.270575533235146
V219,1,-0.273235651126953
V220,1,-0.283826350402336
V221,1,-0.310827585436364
V222,1,-0.260088485283447
V223,1,-0.232186500979374
V224,1,-0.262467821125071
V225,1,-0.333437390030369
V226,1,-0.255575473886374
V227,1,-0.279169254873644
V228,1,-0.304508053442127
V229,1,-0.313747510394748
V230,1,-0.289919486294806
V231,1,-0.309608538845396
V232,1,-0.279733429271225
V233,1,-0.263103960923189
V234,1,-0.256858882706055
V235,1,-0.2661731569453
V236,1,-0.279009779100996
V237,1,-0.353720411841266
V238,1,-0.252599376831718
V239,1,-0.349602326156074
V240,1,-0.243847760776561
V241,1,-0.262964531325828
V242,1,-0.268927275075995
V243,1,-0.226489312244873
V244,1,-0.269449855291363
V245,1,-0.244131119990037
V246,1,-0.209994291163355
V247,1,-0.273797793606278
V248,1,-0.317049270305141
V249,1,-0.306450483074123
V250,1,-0.339728619431767
V251,1,-0.298109745700259
V252,1,-0.155467930673105
V253,1,-0.264681518776378
V254,1,-0.294503298356617
V255,1,-0.324000866883473
V256,1,-0.308580403542194
V257,1,-0.29033506854482
V258,1,-0.334334131960638
V259,1,-0.24536106901666
V260,1,-0.30298497178255
V261,1,-0.237684731872356
V262,1,-0.330107978008812
V263,1,-0.263738514398071
V264,1,-0.262968177115937
V265,1,-0.263817891535851
V266,1,-0.245263256647618
V267,1,-0.239227004176385
V268,1,-0.289253219387675
V269,1,-0.340449918459932
V270,1,-0.329360309181773
V271,1,-0.226650275849828
V272,1,-0.265297151798158
V273,1,-0.321132272237904
V274,1,-0.289742605189147
V275,1,-0.262330055439577
V276,1,-0.279132239285978
V277,1,-0.298878526323954
V278,1,-0.230472488826422
V279,1,-0.230945372568009
V280,1,-0.282870239034516
V281,1,-0.30532308459069
V282,1,-0.272998548715186
V283,1,-0.26910090751565
V284,1,-0.284561991090982
V285,1,-0.286679557160902
V286,1,-0.232384769502119
V287,1,-0.284106442688213
V288,1,-0.235039431722065
V289,1,-0.297632846798798
V290,1,-0.298901714620335
V291,1,-0.217796556406682
V292,1,-0.304490275745998
V293,1,-0.203203098357058
V294,1,-0.279952890025093
V295,1,-0.306097174002794
V296,1,-0.261778250772217
V297,1,-0.261781659352245
V298,1,-0.291432724324487
V299,1,-0.2510256792511
V300,1,-0.323216471969815
V301,1,-0.212159862778542
V302,1,-0.307080062206069
V303,1,-0.265262157202486
V304,1,-0.29722676981158
V305,1,-0.2926453602309
V306,1,-0.293397966464184
