q,fd
1,-0.481732651930955
1,-0.487948865314962
1,-0.463129558212614
1,-0.486192844849299
1,-0.475487889537511
1,-0.535499167577548
1,-0.540595100249647
1,-0.46153080965405
1,-0.491769414868593
1,-0.522548952547659
1,-0.561387291824438
1,-0.448318449177648
1,-0.418405461838219
1,-0.481129494036956
1,-0.512556196669806
1,-0.513524139957774
1,-0.504985888537057
1,-0.465839317030628
1,-0.495025085101652
1,-0.429643331212951
1,-0.489607010447827
1,-0.508901627278064
1,-0.524893452557883
1,-0.495239984003248
1,-0.428829261938617
1,-0.435924933865628
1,-0.483481564142842
1,-0.544603736462356
1,-0.462996522505478
1,-0.480982124510049
1,-0.445163967234166
1,-0.470325070926236
1,-0.44133472749224
1,-0.45326424617879
1,-0.426130018159235
1,-0.522316611693192
1,-0.508253333198063
1,-0.520398688292126
1,-0.528673034393194
1,-0.404838941331718
1,-0.512599484537326
1,-0.473136243286895
1,-0.4693074610162
1,-0.489006429522746
1,-0.447108583143773
1,-0.488434227574921
1,-0.490672117906073
1,-0.403063693160846
1,-0.510174471196869
1,-0.41050330052375
1,-0.574519999389018
1,-0.506490921473052
1,-0.490481060644548
1,-0.521639363661492
1,-0.486185030833106
1,-0.408648405339889
1,-0.422565718420792
1,-0.460151597356926
1,-0.50705961682884
1,-0.501640260584324
1,-0.476771877248588
1,-0.527500186430586
1,-0.460431031136729
1,-0.446671046752371
1,-0.502439777211535
1,-0.448501240481178
1,-0.522077261307246
1,-0.524619910537204
1,-0.464618011374093
1,-0.535119968815849
1,-0.510392608376222
1,-0.501869383810984
1,-0.509870757316733
1,-0.520226740683363
1,-0.548682664179403
1,-0.466508592772165
1,-0.526137670124342
1,-0.5099784783269
1,-0.490511907027937
1,-0.559871007588534
1,-0.526159937608568
1,-0.475832055365551
1,-0.47001396562203
1,-0.495849873667432
1,-0.439920146746559
1,-0.447753681548633
1,-0.464219193634698
1,-0.490565475785196
1,-0.545079637283031
1,-0.481565989171685
1,-0.502460190896926
1,-0.499674530147438
1,-0.585290517544635
1,-0.470141418062696
1,-0.440544888712601
1,-0.476708657612321
1,-0.458519593313987
1,-0.503111951415001
1,-0.553957377899337
1,-0.455719078953621
1,-0.449817362092119
1,-0.493892402489784
1,-0.491507983197359
1,-0.516622818214223
1,-0.549331103350013
1,-0.512257810874623
