sim,q,diff
V255,1,-0.465713504366121
V256,1,-0.626023340765329
V257,1,-0.478642399839245
V258,1,-0.50234821252991
V259,1,-0.460027796173748
V260,1,-0.522602698108656
V261,1,-0.425379003032035
V262,1,-0.497839179949224
V263,1,-0.500967189451472
V264,1,-0.508281292667249
V265,1,-0.497881982993505
V266,1,-0.477501293036482
V267,1,-0.512029926905171
V268,1,-0.472863828618984
V269,1,-0.46077304225966
V270,1,-0.559289557931052
V271,1,-0.458411174885043
V272,1,-0.497640647151968
V273,1,-0.476224218457972
V274,1,-0.479363565450697
V275,1,-0.446028940111859
V276,1,-0.512449749740682
V277,1,-0.448384143393639
V278,1,-0.470626805022121
V279,1,-0.552537044098415
V280,1,-0.508351406207751
V281,1,-0.510524161456715
V282,1,-0.4482813920296
V283,1,-0.498492495528424
V284,1,-0.475333622449924
V285,1,-0.509713495603805
V286,1,-0.488579304478066
V287,1,-0.48491274171883
V288,1,-0.449748264551971
V289,1,-0.491979821685263
V290,1,-0.474921390856295
V291,1,-0.548855565157012
V292,1,-0.53360788966647
V293,1,-0.491398992840118
V294,1,-0.489018650926454
V295,1,-0.525709524415007
V296,1,-0.524663452734387
V297,1,-0.47347499469231
V298,1,-0.536887186418255
V299,1,-0.506993440649652
V300,1,-0.487609534194675
V301,1,-0.450077322068879
V302,1,-0.436389530251418
V303,1,-0.481313354654262
V304,1,-0.52649171533983
V305,1,-0.495707644333876
V306,1,-0.46655870839146
V307,1,-0.46158897662896
V308,1,-0.465481564636079
V309,1,-0.493205590769847
V310,1,-0.430313131064281
V311,1,-0.492680733753375
V312,1,-0.478220436990569
V313,1,-0.503307898560976
V314,1,-0.498628501848927
V315,1,-0.540755650859481
V316,1,-0.465428398408022
V317,1,-0.535834617049403
V318,1,-0.536406345901725
V319,1,-0.527222910191554
V320,1,-0.443700899445446
V321,1,-0.50316794928348
V322,1,-0.536926671985185
V323,1,-0.465049987256236
V324,1,-0.440931517854665
V325,1,-0.519701140170696
V326,1,-0.475719649847648
V327,1,-0.525960984404819
V328,1,-0.560302597674749
V329,1,-0.527958946753984
V330,1,-0.460767834398681
V331,1,-0.499207896109468
V332,1,-0.475476548163584
V333,1,-0.508523785185588
V334,1,-0.513171989163823
V335,1,-0.376374816179123
V336,1,-0.526031766870659
V337,1,-0.492873638096683
V338,1,-0.473287402707683
V339,1,-0.457539765624389
V340,1,-0.444922225979425
V341,1,-0.502254701392843
V342,1,-0.511788356042246
V343,1,-0.454436674682071
V344,1,-0.41111239610882
V345,1,-0.504479501792531
