iteration,replicate,date,id,generation,time,age,income_type,income,nkids,smoker,smoker30,nmoves,county,county_avg_income,county_gini,county_income_mobility
2,2,2020-09-25 at 11:18:01 CEST,1489,0,32.162088939559645,31.0,3,94153.14564453208,1,false,false,0,8473,44395.99347212721,0.0,0.8702531559399121
2,2,2020-09-25 at 11:18:01 CEST,6578,1,32.555675440695126,0.0,2,28772.40017196239,0,false,false,0,8468,47104.95819865682,0.0,0.8862292514506823
2,2,2020-09-25 at 11:18:01 CEST,942,0,32.6149814045129,32.0,2,31814.94885097449,3,true,true,0,8468,47104.95819865682,0.0,0.8862292514506823
2,2,2020-09-25 at 11:18:01 CEST,1671,0,32.63701903336757,32.0,3,92210.98288154758,0,false,false,0,8475,53108.65990841386,0.0,0.8841659715448925
2,2,2020-09-25 at 11:18:01 CEST,1970,0,32.781632262268985,32.0,3,98565.76691494777,1,false,false,0,8478,49587.58463416993,0.0,0.8822319858740154
2,2,2020-09-25 at 11:18:01 CEST,1150,0,32.95487701275379,32.0,1,14698.457490682546,2,false,false,0,8470,49928.042447960186,0.0,0.883815524566787
2,2,2020-09-25 at 11:18:01 CEST,6898,1,33.643249785536995,0.0,2,41720.83983606723,0,false,false,0,8477,50465.62204472439,0.0,0.8839033949217521
2,2,2020-09-25 at 11:18:01 CEST,2582,0,33.95858738373511,33.0,2,33660.166508923015,0,true,true,0,8484,51458.413582697554,0.0,0.8887949822584987
2,2,2020-09-25 at 11:18:01 CEST,2521,0,34.26946799442867,34.0,2,32375.15718665949,0,false,false,0,8484,51504.76899015047,0.0,0.8887949822584987
2,2,2020-09-25 at 11:18:01 CEST,7137,1,34.28117317701077,0.0,1,16839.585515326435,0,false,false,0,8466,47748.799856440026,0.0,0.897197243649945
2,2,2020-09-25 at 11:18:01 CEST,229,0,34.37795155529985,34.0,3,105026.2327310869,2,false,false,0,8461,48898.60056647834,0.0,0.8915892896323236
2,2,2020-09-25 at 11:18:01 CEST,1380,0,34.53441452326698,34.0,2,35435.08694251899,0,false,false,0,8472,48037.10863943685,0.0,0.8844882568793833
2,2,2020-09-25 at 11:18:01 CEST,189,0,34.626807947665434,34.0,3,96407.72092782051,1,false,false,0,8460,51347.43525299692,0.0,0.8641609931395302
2,2,2020-09-25 at 11:18:01 CEST,158,0,34.69848909205252,34.0,2,31710.190026363063,3,true,true,1,8479,43130.65995875799,0.0,0.8761136235076988
2,2,2020-09-25 at 11:18:01 CEST,1508,0,34.7627681626412,34.0,3,90296.59753518026,2,true,true,0,8474,49296.677226891086,0.0,0.8998512649170847
2,2,2020-09-25 at 11:18:01 CEST,2327,0,34.816350611560125,34.0,2,37463.3097896354,0,false,false,0,8482,45715.64951785746,0.0,0.889410539853318
2,2,2020-09-25 at 11:18:01 CEST,7494,1,34.82525833358625,0.0,2,33708.291209662595,0,false,false,0,8462,48665.17341559717,0.0,0.8839928926967239
2,2,2020-09-25 at 11:18:01 CEST,471,0,35.07789735889842,34.0,3,107580.46059111915,2,false,false,0,8463,51260.69520243046,0.0,0.8879846491355545
2,2,2020-09-25 at 11:18:01 CEST,2009,0,35.282424543791116,34.0,2,41099.43882574764,0,false,false,0,8479,43165.01070802336,0.0,0.8761136235076988
2,2,2020-09-25 at 11:18:01 CEST,7552,1,35.41378931786424,0.0,3,97931.95843797814,0,false,false,0,8462,49397.45385546557,0.0,0.8839928926967239
2,2,2020-09-25 at 11:18:01 CEST,1933,0,35.58914312262333,35.0,3,90151.59830317451,0,false,false,0,8478,49327.22855180625,0.0,0.8822319858740154
2,2,2020-09-25 at 11:18:01 CEST,498,0,35.63728880485956,35.0,2,27314.082630820423,2,false,false,1,8462,49397.45385546557,0.0,0.8839928926967239
2,2,2020-09-25 at 11:18:01 CEST,24,0,35.647247207583995,35.0,1,805.0270371822643,0,false,false,0,8459,51073.732626521196,0.0,0.8870264624706404
2,2,2020-09-25 at 11:18:01 CEST,7780,2,35.729997095840936,0.0,2,28956.12090936903,0,false,false,0,8474,49039.18345305748,0.0,0.8998512649170847
2,2,2020-09-25 at 11:18:01 CEST,1784,0,35.8008804063959,35.0,2,27845.86024936332,1,false,false,2,8476,41192.871323320935,0.0,0.8587436151788651
2,2,2020-09-25 at 11:18:01 CEST,1031,0,35.80263909324062,35.0,1,13955.82116079567,0,false,false,0,8469,46216.552626610246,0.0,0.8864421707643566
2,2,2020-09-25 at 11:18:01 CEST,7916,1,35.948035990840694,0.0,3,108755.96850447389,0,false,false,0,8488,43596.89057655754,0.0,0.8633258721426579
2,2,2020-09-25 at 11:18:01 CEST,2433,0,36.03699285602516,36.0,1,11166.56805958414,0,false,false,0,8483,50377.70392176867,0.0,0.8699144487786198
