iteration,replicate,time,id,age,generation,county,average_income,income_mobility,gini
2,2,17.893060437642127,3124,0.0,1,8484,0.0,0.0,0.0
2,2,17.914019525382592,3126,0.0,1,8464,0.0,0.0,0.0
2,2,17.92536455887627,3128,0.0,1,8464,0.0,0.0,0.0
2,2,18.00366104815089,2123,18.0,0,8486,0.0,0.0,0.0
2,2,18.00406771346239,149,18.0,0,8461,0.0,0.0,0.0
2,2,18.004172469632714,2998,18.0,0,8477,0.0,0.0,0.0
2,2,18.006804855048056,3130,0.0,1,8461,0.0,0.0,0.0
2,2,18.01261456960045,2430,18.0,0,8461,0.0,0.0,0.0
2,2,18.017473710287312,525,18.0,0,8471,0.0,0.0,0.0
2,2,18.018650954036552,1236,18.0,0,8460,0.0,0.0,0.0
2,2,18.020324971854695,2908,18.0,0,8469,0.0,0.0,0.0
2,2,18.024191845130833,2579,18.0,0,8475,0.0,0.0,0.0
