iteration,replicate,time,id,age,generation,county,average_income,income_mobility,gini
1,15,20.03350782491679,3224,0.0,1,19,53238.52977476488,0.87211257827249,0.0
1,15,20.04383512893836,3226,0.0,1,19,53238.52977476488,0.87211257827249,0.0
1,15,20.085437573984905,3228,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.088388587701807,3230,0.0,1,23,55356.56022160853,0.865737109178083,0.0
1,15,20.106754864234,3232,0.0,1,25,53548.514272090666,0.8843861499951693,0.0
1,15,20.25929316159318,3234,0.0,1,4,42577.8328351738,0.8822081386290054,0.0
1,15,20.304466641117493,3235,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.334781095035737,3237,0.0,1,4,42577.8328351738,0.8822081386290054,0.0
1,15,20.355003964811203,3239,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.385464198387453,3241,0.0,1,10,49081.56161625181,0.8956339777533915,0.0
1,15,20.385838371942867,3243,0.0,1,26,51131.543812538504,0.8855567144258547,0.0
1,15,20.401710834244255,3245,0.0,1,9,53401.95049405089,0.8910556916072883,0.0
1,15,20.4058516126145,3247,0.0,1,3,49966.421175152595,0.8789169329263353,0.0
1,15,20.408646921769567,3249,0.0,1,20,52307.961083342474,0.8721713267975391,0.0
1,15,20.408717851733606,3251,0.0,1,12,47208.03795241722,0.8915088676216286,0.0
1,15,20.414161792078048,3253,0.0,1,13,46896.22094056874,0.8746202126838,0.0
1,15,20.41872623231895,3255,0.0,1,7,52280.28094178068,0.8822327847191227,0.0
1,15,20.447257547177454,3257,0.0,1,9,53401.95049405089,0.8910556916072883,0.0
1,15,20.45297542001021,3259,0.0,1,29,45789.98063218909,0.8833075800371684,0.0
1,15,20.459895094374573,3261,0.0,1,14,49254.20140633035,0.9103640521347879,0.0
1,15,20.468306500630714,3263,0.0,1,6,48083.45952865434,0.8891729861003287,0.0
1,15,20.501156257265478,3265,0.0,1,8,43365.311113168755,0.8684319374572749,0.0
1,15,20.503897378023865,3267,0.0,1,9,53401.95049405089,0.8910556916072883,0.0
1,15,20.508201093369337,3269,0.0,1,11,51396.60036689782,0.8813577408986534,0.0
1,15,20.50908347800686,3271,0.0,1,27,53402.22515540838,0.877532692061807,0.0
1,15,20.51199661083028,3273,0.0,1,16,48631.35391965075,0.8881252691374166,0.0
1,15,20.517313879556728,3275,0.0,1,28,52264.61678105575,0.8916925525877717,0.0
1,15,20.52124741065799,3277,0.0,1,2,43769.64236975275,0.8854054829596711,0.0
1,15,20.531458455837704,3279,0.0,1,11,51396.60036689782,0.8813577408986534,0.0
1,15,20.537066447355823,3281,0.0,1,2,43769.64236975275,0.8854054829596711,0.0
1,15,20.54055871826465,3283,0.0,1,3,49966.421175152595,0.8789169329263353,0.0
1,15,20.541221842964305,3285,0.0,1,19,53238.52977476488,0.87211257827249,0.0
1,15,20.56121125105527,3287,0.0,1,11,51396.60036689782,0.8813577408986534,0.0
1,15,20.566399221945208,3289,0.0,1,4,42577.8328351738,0.8822081386290054,0.0
1,15,20.56680739615744,3291,0.0,1,8,43365.311113168755,0.8684319374572749,0.0
1,15,20.573895250311306,3293,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.574627224334947,3295,0.0,1,17,49483.77819031779,0.8842662672634927,0.0
1,15,20.583964720086122,3297,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.596328644717286,3299,0.0,1,17,49483.77819031779,0.8842662672634927,0.0
1,15,20.609213445041238,3301,0.0,1,8,43365.311113168755,0.8684319374572749,0.0
1,15,20.611292140822933,3303,0.0,1,2,43769.64236975275,0.8854054829596711,0.0
1,15,20.61430307009487,3305,0.0,1,14,49254.20140633035,0.9103640521347879,0.0
1,15,20.61611542907662,3307,0.0,1,20,52307.961083342474,0.8721713267975391,0.0
1,15,20.620892545139352,3309,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.62168267054795,3311,0.0,1,2,43769.64236975275,0.8854054829596711,0.0
1,15,20.63216192729815,3313,0.0,1,20,52307.961083342474,0.8721713267975391,0.0
1,15,20.63717280981295,3315,0.0,1,22,47867.99735716143,0.8917067573902149,0.0
1,15,20.6397844193615,3317,0.0,1,30,51945.96898065089,0.8840472535749829,0.0
1,15,20.650004376998567,3319,0.0,1,9,53401.95049405089,0.8910556916072883,0.0
1,15,20.666646821927053,3321,0.0,1,14,49254.20140633035,0.9103640521347879,0.0
1,15,20.668534944299218,3323,0.0,1,24,47759.15594778365,0.8629570844477162,0.0
1,15,20.66928327955607,3325,0.0,1,26,51131.543812538504,0.8855567144258547,0.0
1,15,20.677981500289256,3327,0.0,1,7,52280.28094178068,0.8822327847191227,0.0
