q,fd
1,-0.361478099512162
1,-0.424862863821772
1,-0.351238954582527
1,-0.374531737156829
1,-0.321763018779336
1,-0.368011061773231
1,-0.288553739976138
1,-0.305390669404815
1,-0.367922393460773
1,-0.374173832630383
1,-0.334030390567378
1,-0.32567850915585
1,-0.334879623546946
1,-0.327221609156126
1,-0.372280239415325
1,-0.355880072197685
1,-0.386245431489392
1,-0.292151379799861
1,-0.293137647497844
1,-0.37866670262234
1,-0.433206697460022
1,-0.30680957341314
1,-0.349047364101551
1,-0.361718993140109
1,-0.326834337082985
1,-0.341214123394458
1,-0.288379597482681
1,-0.356000606639668
1,-0.332368539660344
1,-0.318897193159124
1,-0.310428902613573
1,-0.361449107417016
1,-0.32682512685426
1,-0.278013935675155
1,-0.356691464636064
1,-0.286810517379848
1,-0.256396583606872
1,-0.322864786820723
1,-0.391708493828062
1,-0.309304334246782
1,-0.430911257864217
1,-0.443970904039468
1,-0.340393151157507
1,-0.347557259199306
1,-0.345429158011463
1,-0.338679806999025
1,-0.346678112129375
1,-0.309318729436292
1,-0.365061996768539
1,-0.389777359505246
1,-0.318472634721978
1,-0.352741432348829
1,-0.356934162536206
1,-0.375308924973439
1,-0.331853805756964
1,-0.361912268218106
1,-0.34084550653165
1,-0.298018634823876
1,-0.347348754235135
1,-0.353358134506998
1,-0.419007880591124
1,-0.35529752474892
1,-0.309527168021781
1,-0.377709201825383
1,-0.404407940494352
1,-0.351474453142849
1,-0.36718672026894
1,-0.411945418174362
1,-0.303461373370276
1,-0.429946913623603
1,-0.305507969699463
1,-0.360436759998748
1,-0.37540976446703
1,-0.308124307922625
1,-0.368980535056792
1,-0.248791996672203
1,-0.299741495200777
1,-0.317992724769994
1,-0.333639623604839
1,-0.33690140631942
1,-0.335844985900081
1,-0.284884391020725
1,-0.368295636511263
1,-0.351892279642463
1,-0.32777005184186
1,-0.313474260617376
1,-0.391988899734208
1,-0.313260658300756
1,-0.372925605742438
1,-0.37303487073784
1,-0.402007430097562
1,-0.333231468063637
1,-0.398099346315583
1,-0.348560150140202
1,-0.394020530295769
1,-0.292228664106915
1,-0.376442442687228
1,-0.369185045338206
1,-0.300068905326619
1,-0.280115183788041
1,-0.39737116063975
1,-0.355796211595667
1,-0.359298225396707
1,-0.383851547903575
1,-0.361571896197695
1,-0.342184001780552
1,-0.399242594871652
1,-0.297274830772636
1,-0.318427062763668
1,-0.263437144534514
1,-0.38486243955299
1,-0.327946623877601
1,-0.282402175816394
1,-0.255702249835103
1,-0.277690835899428
1,-0.386011359760438
1,-0.272969717639981
1,-0.269799166147124
1,-0.363487129550748
1,-0.323799769585861
1,-0.322674106044708
1,-0.257186561888858
1,-0.26978588793164
1,-0.358483831746668
1,-0.379999190762604
1,-0.336805155610492
1,-0.345578427524131
1,-0.323806278137013
1,-0.364094148595157
1,-0.342782807886096
1,-0.403334736570905
1,-0.361396689338605
1,-0.229045175754109
1,-0.37597570346275
1,-0.269908121889237
1,-0.34569818606947
1,-0.424699010554782
1,-0.351556659934552
1,-0.359304974538574
1,-0.366207450419552
1,-0.334599927343561
1,-0.328138590971747
1,-0.415253947974485
1,-0.398140806292815
1,-0.394176101509856
1,-0.305379518223432
1,-0.373267047435775
1,-0.306639693881117
1,-0.345472128861218
1,-0.318246446002654
1,-0.336428307873433
1,-0.313273362999304
1,-0.332201216074495
1,-0.370787401210912
1,-0.340646737334779
1,-0.275026294167276
1,-0.357534466452172
1,-0.366821821850415
1,-0.365580985490844
1,-0.376856425960646
1,-0.361976826860186
1,-0.347744104053817
1,-0.353787688204463
1,-0.375864101580497
1,-0.318918051017434
1,-0.359557063546916
1,-0.354379296216784
1,-0.343543079551409
1,-0.357029498894356
1,-0.272237661583183
1,-0.381288663389419
1,-0.343105840896449
1,-0.316121116650912
1,-0.361734531595666
1,-0.383281794737293
1,-0.362419906586233
1,-0.343010116301457
1,-0.283315677224898
1,-0.395941796870368
1,-0.368689561452918
1,-0.307346640283249
1,-0.358402663020819
1,-0.258812640283047
1,-0.384776816749039
1,-0.328598765884976
1,-0.317164297288123
1,-0.26639765977459
1,-0.376196645689134
1,-0.371644452560481
1,-0.334982556911726
1,-0.348242806693051
1,-0.340818931575321
1,-0.336115164068268
1,-0.355392271746474
1,-0.322327641925476
1,-0.291755479278756
1,-0.326090343074469
1,-0.291856237506394
1,-0.428729455971528
1,-0.356499591646269
1,-0.342887190139912
1,-0.376409815943831
1,-0.32490204453827
1,-0.297734745467196
1,-0.374063078003132
1,-0.33019297595402
1,-0.284797392470097
1,-0.386981047455834
1,-0.323951859341392
1,-0.340796831977407
1,-0.36522420622746
1,-0.362192607830458
1,-0.335989945866544
1,-0.377145992564522
1,-0.325833148457697
1,-0.357166689389423
1,-0.371772989825068
1,-0.316854165946104
1,-0.299283352987487
1,-0.335992511436487
1,-0.411492170614295
1,-0.401300911318188
1,-0.294346671044472
1,-0.321561469658967
1,-0.340943756259534
1,-0.299356221894158
1,-0.396487931710148
1,-0.384258659924754
1,-0.299410300832491
1,-0.350411418295288
1,-0.312228653881832
1,-0.253787802821066
1,-0.350592092818268
1,-0.342639774469461
1,-0.36080581400882
1,-0.417692686731705
1,-0.448180177474022
1,-0.372510772641284
1,-0.321147509180385
1,-0.382341500060839
1,-0.38959548335496
1,-0.356312808917522
1,-0.338879102713804
1,-0.385906363821455
1,-0.316566479015748
1,-0.327298646160905
1,-0.254464895475557
1,-0.339670486297614
1,-0.3113471132623
1,-0.383377169890807
